City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,Kiunga,-6.12,141.29,77.09,94,100,2.66,PG,2020-09-02 23:59:27
71,Sinnamary,5.38,-52.95,79.48,81,48,12.41,GF,2020-09-02 23:59:28
72,Progreso,21.28,-89.67,81.0,83,75,12.75,MX,2020-09-02 23:57:23
73,Bonavista,48.65,-53.11,57.0,71,52,8.99,CA,2020-09-02 23:59:28
74,Nikolskoye,59.7,30.79,55.4,82,66,11.18,RU,2020-09-02 23:59:28
75,Sisophon,13.59,102.97,78.4,87,82,6.96,KH,2020-09-02 23:59:29
76,Sri Aman,1.24,111.46,73.4,100,100,1.12,MY,2020-09-02 23:59:29
77,Lebanon,36.21,-86.29,84.2,70,1,9.17,US,2020-09-02 23:56:52
78,Mahebourg,-20.41,57.7,68.0,100,75,3.36,MU,2020-09-02 23:59:30
79,Vardo,70.37,31.11,57.2,67,100,9.17,NO,2020-09-02 23:59:30
80,Coria,39.99,-6.54,71.01,30,0,5.44,ES,2020-09-02 23:59:31
81,Norman Wells,65.28,-126.83,57.2,71,75,3.36,CA,2020-09-02 23:59:31
82,Gorontalo,0.54,123.06,81.36,77,98,1.5,ID,2020-09-02 23:59:31
83,Severo-Kurilsk,50.68,156.12,57.56,78,100,13.67,RU,2020-09-02 23:59:31
84,Punta Arenas,-53.15,-70.92,41.0,80,40,12.75,CL,2020-09-02 23:58:23
85,Abu Dhabi,24.47,54.37,87.8,79,0,11.41,AE,2020-09-02 23:59:14
86,Kodiak,57.79,-152.41,51.98,83,92,5.35,US,2020-09-02 23:59:32
87,Sur,22.57,59.53,83.23,55,30,2.42,OM,2020-09-02 23:59:32
88,Coahuayana,18.73,-103.68,80.6,83,75,11.41,MX,2020-09-02 23:59:33
89,Port Elizabeth,-33.92,25.57,50.0,71,0,5.82,ZA,2020-09-02 23:59:33
90,Kuryk,43.2,51.65,75.74,40,0,4.65,KZ,2020-09-02 23:59:34
91,Molochnoye,59.29,39.68,45.52,92,34,5.86,RU,2020-09-02 23:59:34
92,Atsipopoulon,35.35,24.43,75.2,64,0,11.41,GR,2020-09-02 23:59:34
93,Cockburn Town,21.46,-71.14,83.68,81,21,20.4,TC,2020-09-02 23:59:35
94,Coro,11.4,-69.67,81.7,77,85,10.07,VE,2020-09-02 23:57:32
95,Rioblanco,3.53,-75.68,64.02,83,68,1.99,CO,2020-09-02 23:59:35
96,Beyneu,45.32,55.2,76.3,30,0,7.65,KZ,2020-09-02 23:59:35
97,Ilo,-17.64,-71.34,59.86,80,76,8.88,PE,2020-09-02 23:59:36
98,Pevek,69.7,170.31,36.82,83,86,8.37,RU,2020-09-02 23:59:36
99,Ushuaia,-54.8,-68.3,37.4,85,90,6.93,AR,2020-09-02 23:59:36
100,Qaanaaq,77.48,-69.36,25.93,81,0,6.67,GL,2020-09-02 23:59:36
101,Galesong,-5.32,119.37,77.0,94,20,3.36,ID,2020-09-02 23:59:37
102,Kupang,-10.17,123.58,84.2,54,20,9.17,ID,2020-09-02 23:58:07
103,Markova,48.68,24.41,54.01,87,96,1.48,UA,2020-09-02 23:59:38
104,Terre-De-Bas,15.85,-61.64,78.8,94,90,3.36,GP,2020-09-02 23:59:38
105,Kenai,60.55,-151.26,52.0,87,90,8.05,US,2020-09-02 23:59:38
106,Hasaki,35.73,140.83,86.0,84,75,14.99,JP,2020-09-02 23:59:38
107,Sao Filipe,14.9,-24.5,77.58,85,89,13.47,CV,2020-09-02 23:59:39
108,Vestmannaeyjar,63.44,-20.27,50.58,89,100,1.9,IS,2020-09-02 23:59:39
109,Kruisfontein,-34.0,24.73,60.01,39,0,1.99,ZA,2020-09-02 23:59:39
110,Mufumbwe,-13.68,24.8,63.9,47,26,8.03,ZM,2020-09-02 23:59:40
111,Severomorsk,69.07,33.42,53.6,66,98,4.47,RU,2020-09-02 23:59:40
112,Karaton,-6.34,106.1,79.0,83,40,5.82,ID,2020-09-02 23:59:40
113,Ust-Kulom,61.69,53.69,37.54,92,15,5.32,RU,2020-09-02 23:59:40
114,Diffa,13.32,12.61,80.8,72,62,2.1,NE,2020-09-02 23:59:41
115,Kaitangata,-46.28,169.85,55.0,52,13,5.01,NZ,2020-09-02 23:59:41
116,Asau,46.43,26.4,62.01,93,95,3.15,RO,2020-09-02 23:59:41
117,Nabire,-3.37,135.48,79.09,77,99,1.9,ID,2020-09-02 23:59:42
118,Avarua,-21.21,-159.78,80.6,74,2,13.87,CK,2020-09-02 23:59:42
119,Baile Govora,45.08,24.18,63.66,63,91,3.09,RO,2020-09-02 23:59:42
120,Umm Kaddadah,13.6,26.69,80.74,56,97,5.93,SD,2020-09-02 23:59:43
121,Puerto Ayora,-0.74,-90.35,66.99,87,80,3.0,EC,2020-09-02 23:59:43
122,Launceston,-41.45,147.17,53.6,81,75,18.34,AU,2020-09-02 23:59:43
123,Omboue,-1.57,9.26,73.36,86,69,6.76,GA,2020-09-02 23:59:43
124,Tabory,58.52,64.55,42.08,87,1,8.97,RU,2020-09-02 23:59:44
125,Berbera,10.44,45.01,90.1,50,3,8.57,SO,2020-09-02 23:59:44
126,Vila Franca Do Campo,37.72,-25.43,73.4,73,75,5.82,PT,2020-09-02 23:59:44
127,Port Hardy,50.7,-127.42,62.6,77,20,11.41,CA,2020-09-02 23:59:44
128,Krasnoselkup,65.7,82.47,42.51,86,100,7.36,RU,2020-09-02 23:59:45
129,Akhmeta,42.03,45.21,71.6,73,40,3.36,GE,2020-09-02 23:59:45
130,Dedza,-14.38,34.33,53.62,100,12,4.59,MW,2020-09-02 23:59:45
131,Bhuban,20.88,85.83,78.19,81,19,1.81,IN,2020-09-02 23:59:46
132,Hearst,49.68,-83.67,57.22,72,56,8.34,CA,2020-09-02 23:59:46
133,Walvis Bay,-22.96,14.51,52.0,61,0,2.24,NA,2020-09-02 23:59:46
134,Kapaa,22.08,-159.32,84.2,66,1,9.17,US,2020-09-02 23:59:46
135,Olafsvik,64.89,-23.71,46.15,77,98,30.94,IS,2020-09-02 23:59:47
136,Wagar,16.15,36.2,85.53,58,95,12.53,SD,2020-09-02 23:59:47
137,Bredasdorp,-34.53,20.04,60.8,72,63,12.75,ZA,2020-09-02 23:59:47
138,Tasiilaq,65.61,-37.64,41.0,65,100,5.82,GL,2020-09-02 23:59:48
139,Tarrafal,15.28,-23.77,78.8,83,75,18.34,CV,2020-09-02 23:59:48
140,Abashiri,44.02,144.27,73.4,64,20,17.22,JP,2020-09-02 23:59:48
141,Krasnogorsk,55.82,37.32,59.0,76,14,8.95,RU,2020-09-02 23:59:49
142,Manakara,-22.13,48.02,65.17,82,100,11.01,MG,2020-09-02 23:59:49
143,Hamilton,39.18,-84.53,79.0,74,90,5.82,US,2020-09-02 23:56:02
144,Ludvika,60.15,15.19,52.0,93,98,1.12,SE,2020-09-02 23:59:49
145,Carnarvon,-24.87,113.63,55.4,93,0,6.93,AU,2020-09-02 23:59:50
146,Koumac,-20.57,164.28,73.18,49,0,6.51,NC,2020-09-02 23:59:50
147,Noumea,-22.28,166.46,73.4,46,32,18.34,NC,2020-09-02 23:59:50
148,Hofn,64.25,-15.21,50.58,78,100,19.98,IS,2020-09-02 23:59:51
149,Saint-Pierre,-21.34,55.48,66.2,72,20,5.82,RE,2020-09-02 23:59:51
150,Burnie,-41.07,145.92,54.0,91,57,15.99,AU,2020-09-02 23:59:51
151,Bandarbeyla,9.49,50.81,77.85,73,63,22.08,SO,2020-09-02 23:59:52
152,Baltiysk,54.65,19.91,59.0,100,75,6.71,RU,2020-09-02 23:59:52
153,North Bend,43.41,-124.22,77.0,82,20,12.75,US,2020-09-02 23:59:52
154,Shahrud,36.42,54.98,55.29,40,0,2.59,IR,2020-09-02 23:59:52
155,Berlevag,70.86,29.09,53.67,70,99,17.47,NO,2020-09-02 23:59:53
156,Basco,20.45,121.97,84.31,80,100,17.49,PH,2020-09-02 23:59:53
